ICDO3.2	Level	Term
9860/3	Synonym	Aleukemic granulocytic leukemia
9860/3	Synonym	Aleukemic myelogenous leukemia
9860/3	Related	Aleukemic monocytic leukemia
9860/3	Related	Chronic monocytic leukemia
9860/3	Related	Eosinophilic leukemia, NOS
9860/3	Related	Monocytic leukemia, NOS
9860/3	Related	Subacute monocytic leukemia
9860/3	Related	Subacute myeloid leukemia
9860/3	Synonym	Subacute granulocytic leukemia
9860/3	Synonym	Subacute myelogenous leukemia
9861/3	Preferred	Acute myeloid leukemia, NOS (see also M-9930/3)
9861/3	Synonym	Acute granulocytic leukemia
9861/3	Synonym	Acute myelocytic leukemia
9861/3	Synonym	Acute myelogenous leukemia
9861/3	Synonym	Acute non-lymphocytic leukemia
9863/3	Preferred	Chronic myeloid leukemia, NOS
9863/3	Synonym	Chronic granulocytic leukemia, NOS
9863/3	Synonym	Chronic myelocytic leukemia, NOS
9863/3	Synonym	Chronic myelogenous leukemia, NOS
9865/3	Preferred	"Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214"
9866/3	Preferred	"Acute promyelocytic leukemia, t(15;17)(q22;q11-12)"
9866/3	Synonym	Acute promyelocytic leukemia, NOS
9866/3	Synonym	Acute myeloid leukemia, PML/RAR-alpha
9866/3	Synonym	"Acute myeloid leukemia, t(15;17)(q22;q11-12)"
9866/3	Synonym	Acute promyelocytic leukemia, PML/RAR-alpha
9866/3	Synonym	FAB M3 includes all variants
9867/3	Preferred	Acute myelomonocytic leukemia, NOS
9867/3	Synonym	FAB M4
9869/3	Preferred	"Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1"
9870/3	Preferred	Acute basophilic leukemia
9871/3	Preferred	Acute myeloid leukemia with abnormal marrow eosinophils includes all variants
9871/3	Synonym	Acute myeloid leukemia, CBF-beta/MYH11
9871/3	Synonym	"Acute myeloid leukemia, inv(16)(p13;q22)"
9871/3	Synonym	"Acute myeloid leukemia, t(16;16)(p13;q11)"
9871/3	Synonym	Acute myelomonocytic leukemia with abnormal eosinophils
9871/3	Synonym	FAB M4Eo
9872/3	Preferred	Acute myeloid leukemia, minimal differentiation
9872/3	Synonym	Acute myeloblastic leukemia
9872/3	Synonym	FAB M0
9873/3	Preferred	Acute myeloid leukemia without maturation
9873/3	Synonym	FAB M1
9874/3	Preferred	Acute myeloid leukemia with maturation
9874/3	Synonym	FAB M2, NOS
9875/3	Preferred	Chronic myelogenous leukemia, BCR/ABL positive
9875/3	Synonym	Chronic granulocytic leukemia, BCR/ABL
9875/3	Synonym	Chronic granulocytic leukemia, Philadelphia chromosome (Ph1) positive
9875/3	Synonym	"Chronic granulocytic leukemia, t(9;22)(q34;q11)"
9875/3	Synonym	Chronic myelogenous leukemia, Philadelphia chromosome (Ph1) positive
9875/3	Synonym	"Chronic myelogenous leukemia, t(9;22)(q34;q11)"
9876/3	Preferred	Atypical chronic myeloid leukemia, BCR/ABL negative
9876/3	Related	Atypical chronic myeloid leukemia, Philadelphia chromosome (Ph1) negative
9877/3	Preferred	Acute myeloid leukemia with mutated NPM1
9878/3	Preferred	Acute myeloid leukemia with biallelic mutation of CEBPA
9879/3	Preferred	Acute myeloid leukemia with mutated RUNX1
9891/3	Preferred	Acute monocytic leukemia
9891/3	Synonym	Monoblastic leukemia, NOS
9891/3	Synonym	Acute monoblastic leukemia
9891/3	Synonym	FAB M5 includes all variants
9891/3	Related	Acute monoblastic and monocytic leukemia
9895/3	Preferred	Acute myeloid leukemia with myelodysplasia-related changes
9895/3	Synonym	Acute myeloid leukemia with multilineage dysplasia
9895/3	Synonym	Acute myeloid leukemia with prior myelodysplastic syndrome
9895/3	Synonym	Acute myeloid leukemia without prior myelodysplastic syndrome
9896/3	Preferred	"Acute myeloid leukemia, t(8;21)(q22;q22)"
9896/3	Synonym	Acute myeloid leukemia, AML1(CBF-alpha)/ETO
9896/3	Synonym	"Acute myeloid leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1"
9896/3	Synonym	FAB M2, AML1(CBF-alpha)/ETO
9896/3	Synonym	"FAB M2, t(8;21)(q22;q22)"
9897/3	Preferred	Acute myeloid leukemia, 11q23 abnormalities
9897/3	Synonym	Acute myeloid leukemia, MLL
9897/3	Synonym	"Acute myeloid leukemia with t(9;11)(p22;q23); MLLT3-MLL"
9898/1	Preferred	Transient abnormal myelopoiesis
9898/3	Preferred	Myeloid leukemia associated with Down syndrome
9910/3	Preferred	Acute megakaryoblastic leukemia
9910/3	Synonym	Megakaryocytic leukemia
9910/3	Synonym	FAB M7
9911/3	Preferred	"Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1"
9912/3	Preferred	Acute myeleoid leukemia with BCR-ABL1
9920/3	Preferred	Therapy-related myeloid neoplasm
9920/3	Synonym	Therapy-related acute myeloid leukemia, NOS
9920/3	Related	Therapy-related acute myeloid leukemia, alkylating agent related
9920/3	Related	Therapy-related acute myeloid leukemia, epipodophyllotoxin-related
9930/3	Preferred	Myeloid sarcoma (see also M-9861/3)
9930/3	Synonym	Chloroma
9930/3	Synonym	Granulocytic sarcoma
9931/3	Preferred	Acute panmyelosis with myelofibrosis
9931/3	Synonym	Acute myelosclerosis, NOS
9931/3	Synonym	Acute panmyelosis, NOS
9931/3	Synonym	Acute myelofibrosis
9931/3	Synonym	Malignant myelosclerosis
994	3	Other leukemias
9940/3	Preferred	Hairy cell leukemia, NOS
9940/3	Synonym	Leukemic reticuloendotheliosis
9945/3	Preferred	Chronic myelomonocytic leukemia, NOS
9945/3	Related	Chronic myelomonocytic leukemia, type I
9945/3	Related	Chronic myelomonocytic leukemia, type II
9945/3	Synonym	Chronic myelomonocytic leukemia in transformation
9946/3	Preferred	Juvenile myelomonocytic leukemia, NOS
9946/3	Synonym	Juvenile chronic myelomonocytic leukemia
9948/3	Preferred	Aggressive NK-cell leukemia
995-996	2	Myeloproliferative neoplasms
9950/3	Preferred	Polycythemia vera
9950/3	Synonym	Chronic erythremia
9950/3	Synonym	Polycythemia rubra vera
9950/3	Synonym	Proliferative polycythemia
9960/3	Preferred	Myeloproliferative neoplasm, NOS
9960/3	Synonym	Chronic myeloproliferative disease, NOS
9960/3	Synonym	Chronic myeloproliferative disorder
9960/3	Synonym	Myeloproliferative disease, NOS
9961/3	Preferred	Primary myelofibrosis
9961/3	Synonym	Agnogenic myeloid metaplasia
9961/3	Synonym	Chronic idiopathic myelofibrosis
9961/3	Synonym	Megakaryocytic myelosclerosis
9961/3	Synonym	Myelofibrosis as a result of myeloproliferative disease
9961/3	Synonym	Myelofibrosis with myeloid metaplasia
9961/3	Synonym	Myelosclerosis with myeloid metaplasia
9962/3	Preferred	Essential thrombocythemia
9962/3	Synonym	Essential hemorrhagic thrombocythemia
9962/3	Synonym	Idiopathic hemorrhagic thrombocythemia
9962/3	Synonym	Idiopathic thrombocythemia
9963/3	Preferred	Chronic neutrophilic leukemia
9964/3	Preferred	Chronic eosinophilic leukemia
9964/3	Synonym	Hypereosinophilic syndrome
9965/3	Preferred	Myeloid or lymphoid neoplasm with PDGFRA rearrangement
9966/3	Preferred	Myeloid neoplasm with PDGFRB rearrangement
9967/3	Preferred	Myeloid or lymphoid neoplasm with FGFR1 abnormalities
9968/3	Preferred	Myeloid or lymphoid neoplasm with PCM1-JAK2
997	2	Other hematological neoplasms
9970/1	Preferred	Lymphoproliferative disorder, NOS
9970/1	Synonym	Lymphoproliferative disease, NOS
9971/1	Preferred	Post-transplant lymphoproliferative disorder, NOS (see also M-9650/3)
9971/1	Synonym	PTLD, NOS
9971/1	Related	Polymorphic post-transplant lymphoproliferative disorder
9975/3	Preferred	Myeloproliferative neoplasm, unclassifiable
9975/3	Related	Myelodysplastic/myeloproliferative neoplasm, unclassifiable
998-999	2	Myelodysplastic syndromes
9980/3	Preferred	Myelodysplastic syndrome with single lineage dysplasia
9980/3	Synonym	Refractory anemia, NOS
9980/3	Synonym	Refractory anemia without sideroblasts
9980/3	Synonym	Refractory neutropenia
9980/3	Synonym	Refractory thrombocytopenia
9982/3	Preferred	Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia
9982/3	Synonym	Refractory anemia with sideroblasts
9982/3	Synonym	RARS
9982/3	Synonym	Refractory anemia with ring sideroblasts associated with marked thrombocytosis
9982/3	Synonym	Refractory anemia with ring sideroblasts, NOS
9982/3	Synonym	Myelodysplastic syndrome with ring sideroblasts, NOS
9983/3	Preferred	Myelodysplastic syndrome with excess blasts
9983/3	Synonym	Refractory anemia with excess blasts, NOS
9983/3	Synonym	RAEB, NOS
9983/3	Synonym	RAEB I
9983/3	Synonym	RAEB II
9984/3	Preferred	Refractory anemia with excess blasts in transformation
9984/3	Synonym	RAEB-T
9985/3	Preferred	Myelodysplastic syndrome with multilineage dysplasia
9985/3	Synonym	Refractory cytopenia with multilineage dysplasia
9985/3	Related	Refractory cytopenia of childhood
9986/3	Preferred	Myelodysplastic syndrome with isolated del (5q)
9986/3	Synonym	Myelodysplastic syndrome with 5q deletion (5q-) syndrome
9987/3	Preferred	Therapy-related myelodysplastic syndrome, NOS
9987/3	Synonym	Therapy-related myelodysplastic syndrome, alkylating agent related
9987/3	Synonym	Therapy-related myelodysplastic syndrome, epipodophyllotoxin-related
9989/3	Preferred	Myelodysplastic syndrome, NOS
9989/3	Synonym	Preleukemia
9989/3	Synonym	Preleukemic syndrome
9989/3	Related	Myelodysplastic syndrome, unclassifiable
9993/3	Preferred	Myelodysplastic syndrome with ring sideroblasts and multilineage dysplasia
